time_utc,u100,v100
2025-01-01 00:00:00,-4.5317993,1.2913055
2025-01-01 01:00:00,-4.1523743,1.3340149
2025-01-01 02:00:00,-3.8992157,1.2150726
2025-01-01 03:00:00,-3.702652,0.9233856
2025-01-01 04:00:00,-3.9271698,0.66334534
2025-01-01 05:00:00,-4.3392334,0.5682831
2025-01-01 06:00:00,-4.733597,0.7581787
2025-01-01 07:00:00,-5.112747,1.1219025
2025-01-01 08:00:00,-5.5849304,1.574234
2025-01-01 09:00:00,-5.6992035,1.9932556
2025-01-01 10:00:00,-4.937729,1.038681
2025-01-01 11:00:00,-5.0560455,1.3505707
2025-01-01 12:00:00,-5.1089783,1.7117767
2025-01-01 13:00:00,-5.4120026,1.6105499
2025-01-01 14:00:00,-5.787262,1.4662018
2025-01-01 15:00:00,-5.9603424,1.7411957
2025-01-01 16:00:00,-5.8466187,2.0650177
2025-01-01 17:00:00,-5.912491,2.1615143
2025-01-01 18:00:00,-6.0666504,2.4016876
2025-01-01 19:00:00,-5.871643,2.5852203
2025-01-01 20:00:00,-5.748398,2.7881927
2025-01-01 21:00:00,-5.8276215,2.8626251
2025-01-01 22:00:00,-6.7245636,2.6400757
2025-01-01 23:00:00,-7.031067,2.5884705
2025-01-02 00:00:00,-7.2639008,2.573944
2025-01-02 01:00:00,-7.1816406,3.1703796
2025-01-02 02:00:00,-6.933853,3.634735
2025-01-02 03:00:00,-6.5735474,3.8120422
2025-01-02 04:00:00,-6.483551,3.7504272
2025-01-02 05:00:00,-6.6009064,3.7699127
2025-01-02 06:00:00,-6.749054,3.5701904
2025-01-02 07:00:00,-7.1537933,3.1771393
2025-01-02 08:00:00,-7.5814056,2.944519
2025-01-02 09:00:00,-7.8287506,2.8569489
2025-01-02 10:00:00,-7.6803894,2.1999207
2025-01-02 11:00:00,-7.494629,2.2900848
2025-01-02 12:00:00,-7.296341,2.2811127
2025-01-02 13:00:00,-7.3272247,2.206955
2025-01-02 14:00:00,-7.240753,2.752777
2025-01-02 15:00:00,-7.364258,2.6518555
2025-01-02 16:00:00,-7.361725,2.5589752
2025-01-02 17:00:00,-7.156601,2.5637665
2025-01-02 18:00:00,-6.803131,2.2265625
2025-01-02 19:00:00,-6.7372894,1.7069092
2025-01-02 20:00:00,-7.048477,1.443634
2025-01-02 21:00:00,-7.163727,1.8830872
2025-01-02 22:00:00,-6.823044,2.873642
2025-01-02 23:00:00,-6.451462,3.110962
2025-01-03 00:00:00,-6.021469,3.350113
2025-01-03 01:00:00,-5.6380463,3.2594604
2025-01-03 02:00:00,-5.160568,2.5837708
2025-01-03 03:00:00,-4.950836,1.6728973
2025-01-03 04:00:00,-4.95755,0.9103546
2025-01-03 05:00:00,-5.202484,0.2820282
2025-01-03 06:00:00,-5.4204865,0.30825806
2025-01-03 07:00:00,-5.4979706,0.5938263
2025-01-03 08:00:00,-5.340912,0.56204224
2025-01-03 09:00:00,-5.0644836,0.177948
2025-01-03 10:00:00,-4.6878967,0.11349487
2025-01-03 11:00:00,-4.139847,-0.011474609
2025-01-03 12:00:00,-3.8635712,-0.1464386
2025-01-03 13:00:00,-3.657135,-0.025909424
2025-01-03 14:00:00,-3.3027496,-0.4888916
2025-01-03 15:00:00,-2.7214355,-1.3654175
2025-01-03 16:00:00,-2.390503,-1.8568115
2025-01-03 17:00:00,-2.0117798,-1.8767242
2025-01-03 18:00:00,-1.541748,-1.7201385
2025-01-03 19:00:00,-0.6543884,-1.9579926
2025-01-03 20:00:00,0.61203,-3.5174103
2025-01-03 21:00:00,1.7671967,-5.2559967
2025-01-03 22:00:00,1.6515808,-4.9781036
2025-01-03 23:00:00,2.058014,-4.808441
2025-01-04 00:00:00,2.942566,-5.5565643
2025-01-04 01:00:00,3.5118256,-5.6708527
2025-01-04 02:00:00,3.8618011,-5.374588
2025-01-04 03:00:00,4.2278595,-4.4479523
2025-01-04 04:00:00,5.1290894,-3.850647
2025-01-04 05:00:00,6.0409546,-3.9528656
2025-01-04 06:00:00,6.35231,-3.9733124
2025-01-04 07:00:00,6.4575043,-4.030121
2025-01-04 08:00:00,6.6783447,-4.1949463
2025-01-04 09:00:00,6.772995,-4.0859833
2025-01-04 10:00:00,5.68573,-4.342819
2025-01-04 11:00:00,6.267639,-4.332184
2025-01-04 12:00:00,6.6047974,-4.0646973
2025-01-04 13:00:00,6.8774567,-3.8926392
2025-01-04 14:00:00,7.068695,-4.030838
2025-01-04 15:00:00,6.969513,-4.604126
2025-01-04 16:00:00,6.707306,-4.972397
2025-01-04 17:00:00,6.4424896,-5.037079
2025-01-04 18:00:00,6.316757,-5.0685425
2025-01-04 19:00:00,6.2945557,-5.5780945
2025-01-04 20:00:00,6.131729,-5.892044
2025-01-04 21:00:00,5.881607,-5.9768066
2025-01-04 22:00:00,4.690735,-6.1526794
2025-01-04 23:00:00,3.9975128,-5.702118
2025-01-05 00:00:00,3.577835,-4.8886414
2025-01-05 01:00:00,3.631134,-3.9928741
2025-01-05 02:00:00,4.121063,-3.3820953
2025-01-05 03:00:00,4.563034,-3.368744
2025-01-05 04:00:00,5.01268,-3.768036
2025-01-05 05:00:00,5.0189667,-4.059433
2025-01-05 06:00:00,4.7013245,-3.9068298
2025-01-05 07:00:00,4.5417786,-3.6743164
2025-01-05 08:00:00,4.269348,-3.3068695
2025-01-05 09:00:00,4.210205,-2.7880707
2025-01-05 10:00:00,3.4322968,-2.1045837
2025-01-05 11:00:00,3.4862518,-1.8139343
2025-01-05 12:00:00,3.4191742,-1.5220184
2025-01-05 13:00:00,3.4447174,-1.0443573
2025-01-05 14:00:00,3.5573425,-0.45117188
2025-01-05 15:00:00,3.619812,0.03755188
2025-01-05 16:00:00,3.7294617,0.37916565
2025-01-05 17:00:00,3.8272705,0.6549225
2025-01-05 18:00:00,3.4954376,0.9999237
2025-01-05 19:00:00,3.0379791,1.5721741
2025-01-05 20:00:00,2.8190002,2.366867
2025-01-05 21:00:00,3.0819092,3.112793
2025-01-05 22:00:00,2.8806915,3.6121979
